codigo;descripcion_aperturas;clasificador;periodo;indice_ipc;v_m_ipc;v_i_a_ipc;region
06.4.1;Gastos de prepagas;Clase;2016-12-01;100,0000;NA;NA;GBA
07.2.2;Combustibles y lubricantes para vehículos de uso del hogar;Clase;2016-12-01;100,0000;NA;NA;GBA
0;Nivel general;Nivel general;2017-01-01;101,7874;1,8;NA;Pampeana
0;Nivel general;Nivel general;2017-01-01;101,6727;1,7;NA;Noreste
0;Nivel general;Nivel general;2017-01-01;101,6014;1,6;NA;Noroeste
0;Nivel general;Nivel general;2017-01-01;101,7074;1,7;NA;Cuyo
0;Nivel general;Nivel general;2017-01-01;102,5593;2,6;NA;Patagonia
01;Alimentos y bebidas no alcohólicas;Divisiones;2017-01-01;101,3185;1,3;NA;Pampeana
01;Alimentos y bebidas no alcohólicas;Divisiones;2017-01-01;101,7326;1,7;NA;Noreste
01;Alimentos y bebidas no alcohólicas;Divisiones;2017-01-01;101,0322;1,0;NA;Noroeste
01;Alimentos y bebidas no alcohólicas;Divisiones;2017-01-01;101,4532;1,5;NA;Cuyo
01;Alimentos y bebidas no alcohólicas;Divisiones;2017-01-01;100,9464;0,9;NA;Patagonia
02;Bebidas alcohólicas y tabaco;Divisiones;2017-01-01;101,3123;1,3;NA;Pampeana
02;Bebidas alcohólicas y tabaco;Divisiones;2017-01-01;100,7754;0,8;NA;Noreste
02;Bebidas alcohólicas y tabaco;Divisiones;2017-01-01;101,3444;1,3;NA;Noroeste
02;Bebidas alcohólicas y tabaco;Divisiones;2017-01-01;101,3446;1,3;NA;Cuyo
02;Bebidas alcohólicas y tabaco;Divisiones;2017-01-01;101,1901;1,2;NA;Patagonia
03;Prendas de vestir y calzado;Divisiones;2017-01-01;99,6481;-0,4;NA;Pampeana
03;Prendas de vestir y calzado;Divisiones;2017-01-01;100,2847;0,3;NA;Noreste
03;Prendas de vestir y calzado;Divisiones;2017-01-01;100,4830;0,5;NA;Noroeste
03;Prendas de vestir y calzado;Divisiones;2017-01-01;99,8901;-0,1;NA;Cuyo
03;Prendas de vestir y calzado;Divisiones;2017-01-01;100,9137;0,9;NA;Patagonia
04;Vivienda, agua, electricidad, gas y otros combustibles;Divisiones;2017-01-01;102,2250;2,2;NA;Pampeana
04;Vivienda, agua, electricidad, gas y otros combustibles;Divisiones;2017-01-01;101,3940;1,4;NA;Noreste
04;Vivienda, agua, electricidad, gas y otros combustibles;Divisiones;2017-01-01;101,5904;1,6;NA;Noroeste
04;Vivienda, agua, electricidad, gas y otros combustibles;Divisiones;2017-01-01;102,9333;2,9;NA;Cuyo
04;Vivienda, agua, electricidad, gas y otros combustibles;Divisiones;2017-01-01;110,3184;10,3;NA;Patagonia
05;Equipamiento y mantenimiento del hogar;Divisiones;2017-01-01;100,8374;0,8;NA;Pampeana
05;Equipamiento y mantenimiento del hogar;Divisiones;2017-01-01;101,4132;1,4;NA;Noreste
05;Equipamiento y mantenimiento del hogar;Divisiones;2017-01-01;100,4121;0,4;NA;Noroeste
05;Equipamiento y mantenimiento del hogar;Divisiones;2017-01-01;101,2098;1,2;NA;Cuyo
05;Equipamiento y mantenimiento del hogar;Divisiones;2017-01-01;101,0684;1,1;NA;Patagonia
06;Salud;Divisiones;2017-01-01;103,1538;3,2;NA;Pampeana
06;Salud;Divisiones;2017-01-01;102,5966;2,6;NA;Noreste
06;Salud;Divisiones;2017-01-01;102,7132;2,7;NA;Noroeste
06;Salud;Divisiones;2017-01-01;103,1395;3,1;NA;Cuyo
06;Salud;Divisiones;2017-01-01;104,7253;4,7;NA;Patagonia
07;Transporte;Divisiones;2017-01-01;102,4339;2,4;NA;Pampeana
07;Transporte;Divisiones;2017-01-01;100,3463;0,3;NA;Noreste
07;Transporte;Divisiones;2017-01-01;102,9280;2,9;NA;Noroeste
07;Transporte;Divisiones;2017-01-01;102,6271;2,6;NA;Cuyo
07;Transporte;Divisiones;2017-01-01;102,4768;2,5;NA;Patagonia
08;Comunicación;Divisiones;2017-01-01;102,0782;2,1;NA;Pampeana
